,id,favorite_count,retweet_count,sentiment
,count,sum,sum,mean
Date,,,,
2020-01-22,9504,49563,20441,0.23390354587542714
2020-01-23,6427,43605,16548,0.07350224054768949
2020-01-24,5840,46585,16407,0.09144136986301396
2020-01-25,4194,39124,14920,0.08090512637100558
2020-01-26,3398,16882,7865,0.06481412595644527
2020-01-27,4483,24535,10741,0.09473537809502562
2020-01-28,4555,28238,11361,0.10811400658616893
2020-01-29,4462,21045,9184,0.09000930076199033
2020-01-30,3884,16462,7730,0.09889392378990738
2020-01-31,4038,31988,10688,0.09603870728083237
2020-02-01,3232,18913,8199,0.056248329207920764
2020-02-02,2949,14387,6290,0.07908572397422874
2020-02-03,4506,47083,14713,0.07183945849977799
2020-02-04,5619,33763,13998,0.07068225662929371
2020-02-05,5136,31957,12613,0.0797664330218068
2020-02-06,4341,35566,13086,0.08578650080626575
2020-02-07,4791,28375,13046,0.05594879983301988
2020-02-08,3828,23138,9762,0.033636415882967494
2020-02-09,3501,26580,12918,0.0299774635818337
2020-02-10,4952,29610,13096,0.06897463651050091
2020-02-11,4602,24714,9900,0.08404365493263807
2020-02-12,4646,24651,10391,0.09136155832974586
2020-02-13,4623,27437,10894,0.10864038503136503
2020-02-14,4247,28950,11326,0.11510859430186053
2020-02-15,2836,23572,9646,0.06758452045134006
2020-02-16,3102,20533,8909,0.05921266924564788
2020-02-17,4463,24879,11846,0.08725464933900942
2020-02-18,5222,25225,9805,0.09569078896974342
2020-02-19,4268,20022,8920,0.09553828491096526
2020-02-20,4808,23264,9678,0.08057144342762038
2020-02-21,4363,28823,12432,0.08015019482007783
2020-02-22,3024,14970,6313,0.04230416666666668
2020-02-23,3158,19967,8833,0.03810750474984166
2020-02-24,5016,29109,13919,0.05557454146730487
2020-02-25,4693,30810,13107,0.06763015128915435
2020-02-26,4830,25897,11441,0.06987910973084911
2020-02-27,5270,36259,14633,0.10066681214421243
2020-02-28,5164,41018,14412,0.09394728892331534
2020-02-29,3089,24211,9083,0.0701210100356104
2020-03-01,3164,24344,9939,0.06417989886219969
2020-03-02,4352,23748,10099,0.08001583180147055
2020-03-03,4580,30219,17403,0.08842443231441047
2020-03-04,4258,27899,12240,0.09213851573508686
2020-03-05,4472,23311,10252,0.09246914132379237
2020-03-06,3695,23834,9106,0.10169907983761871
2020-03-07,2578,18375,9093,0.05004076803723812
2020-03-08,2764,18169,7350,0.0753410998552823
2020-03-09,3716,21523,7956,0.0870923842841766
2020-03-10,4086,22325,8457,0.06463504650024508
2020-03-11,4066,23101,9642,0.07655892769306444
2020-03-12,3725,35034,9901,0.06492998657718135
2020-03-13,3364,17919,6801,0.061658680142687286
2020-03-14,2178,12112,5095,0.05198466483011939
2020-03-15,2139,12537,4988,0.044182935951379114
2020-03-16,3542,16495,6660,0.07024666854884261
2020-03-17,3045,13351,4888,0.07428912972085391
2020-03-18,3033,12464,4829,0.07389666996373243
2020-03-19,3071,17727,5493,0.035997557798762715
2020-03-20,2534,12432,5125,0.0705958168902922
2020-03-21,2017,14928,4929,0.06888616757560725
2020-03-22,2611,16616,6182,0.10935254691689032
2020-03-23,2653,24677,8147,0.0766276290991332
2020-03-24,2500,9668,4289,0.0475520399999999
2020-03-25,2368,8353,3710,0.0693931587837838
2020-03-26,2394,9581,4280,0.0808311194653299
2020-03-27,2199,12126,6430,0.08495638926784911
2020-03-28,1911,14566,5240,0.08005944531658823
2020-03-29,1585,7182,4709,0.0006164668769716072
2020-03-30,2216,9481,4514,0.04764214801444046
2020-03-31,2540,14653,7291,0.012201496062992112
2020-04-01,2470,12600,5783,0.0413695546558704
2020-04-02,2766,11223,5240,0.1384313087490966
